t,lower,upper
3.000000E1,-1.255882E-2,-1.237427E-1
3.010000E1,,
3.020000E1,,
3.030000E1,,
3.040000E1,,
3.050000E1,,
3.060000E1,,
3.070000E1,,
3.080000E1,,
3.090000E1,,
3.100000E1,-1.307801E-2,-1.237427E-1
3.110000E1,,
3.120000E1,,
3.130000E1,,
3.140000E1,,
3.150000E1,,
3.160000E1,,
3.170000E1,,
3.180000E1,,
3.190000E1,,
3.200000E1,-1.353821E-2,-1.237427E-1
3.210000E1,,
3.220000E1,,
3.230000E1,,
3.240000E1,,
3.250000E1,,
3.260000E1,,
3.270000E1,,
3.280000E1,,
3.290000E1,,
3.300000E1,-1.392606E-2,-1.237427E-1
3.310000E1,,
3.320000E1,,
3.330000E1,,
3.340000E1,,
3.350000E1,,
3.360000E1,,
3.370000E1,,
3.380000E1,,
3.390000E1,,
3.400000E1,-1.442154E-2,-1.237427E-1
3.410000E1,,
3.420000E1,,
3.430000E1,,
3.440000E1,,
3.450000E1,,
3.460000E1,,
3.470000E1,,
3.480000E1,,
3.490000E1,,
3.500000E1,-1.485492E-2,-1.237427E-1
3.510000E1,,
3.520000E1,,
3.530000E1,,
3.540000E1,,
3.550000E1,,
3.560000E1,,
3.570000E1,,
3.580000E1,,
3.590000E1,,
3.600000E1,-1.552979E-2,-1.237427E-1
3.610000E1,,
3.620000E1,,
3.630000E1,,
3.640000E1,,
3.650000E1,,
3.660000E1,,
3.670000E1,,
3.680000E1,,
3.690000E1,,
3.700000E1,-1.603572E-2,-1.237427E-1
3.710000E1,,
3.720000E1,,
3.730000E1,,
3.740000E1,,
3.750000E1,,
3.760000E1,,
3.770000E1,,
3.780000E1,,
3.790000E1,,
3.800000E1,-1.646374E-2,-1.237427E-1
3.810000E1,,
3.820000E1,,
3.830000E1,,
3.840000E1,,
3.850000E1,,
3.860000E1,,
3.870000E1,,
3.880000E1,,
3.890000E1,,
3.900000E1,-1.671204E-2,-1.237427E-1
3.910000E1,,
3.920000E1,,
3.930000E1,,
3.940000E1,,
3.950000E1,,
3.960000E1,,
3.970000E1,,
3.980000E1,,
3.990000E1,,
4.000000E1,-1.721027E-2,-1.237427E-1
4.010000E1,,
4.020000E1,,
4.030000E1,,
4.040000E1,,
4.050000E1,,
4.060000E1,,
4.070000E1,,
4.080000E1,,
4.090000E1,,
