frame_number,time_seconds,foam_area_pixels,total_area_pixels,foam_percentage,beer_area_pixels,beer_percentage,foam_to_beer_ratio
38,1.268124128312413,298011,378225,78.7919888954987,80214,21.20801110450129,3.71519934176079
39,1.3014958158995817,297907,378225,78.76449203516425,80318,21.235507964835744,3.7090938519385444
40,1.3348675034867503,297713,378225,78.71319981492498,80512,21.286800185075023,3.6977469197138313
41,1.3682391910739191,297674,378225,78.70288849229956,80551,21.297111507700443,3.695472433613487
42,1.401610878661088,297168,378225,78.5691056910569,81057,21.43089430894309,3.6661608497723823
43,1.4349825662482567,297168,378225,78.5691056910569,81057,21.43089430894309,3.6661608497723823
44,1.4683542538354255,297019,378225,78.52971115077004,81206,21.470288849229956,3.657599192177918
45,1.5017259414225943,296836,378225,78.48132725229692,81389,21.51867274770309,3.6471267616016907
46,1.5350976290097629,296634,378225,78.42791988895499,81591,21.572080111045015,3.6356215759091075
47,1.5684693165969317,296813,378225,78.4752462158768,81412,21.524753784123206,3.6458138849309685
48,1.6018410041841005,296447,378225,78.37847841893053,81778,21.62152158106947,3.625021399398371
49,1.6352126917712693,296514,378225,78.39619274241522,81711,21.60380725758477,3.6288137460072694
50,1.668584379358438,296142,378225,78.29783858814197,82083,21.70216141185802,3.607835970907496
51,1.7019560669456069,296032,378225,78.26875537048053,82193,21.731244629519466,3.601669241906245
52,1.7353277545327754,295622,378225,78.1603542864697,82603,21.839645713530306,3.578828856094815
53,1.7686994421199442,295340,378225,78.08579549210125,82885,21.914204507898738,3.5632502865415936
54,1.802071129707113,294740,378225,77.92715975940247,83485,22.07284024059753,3.5304545726777263
55,1.8354428172942818,294341,378225,77.82166699715778,83884,22.178333002842223,3.5089051547374948
56,1.8688145048814506,293984,378225,77.727278736202,84241,22.272721263798005,3.489797129663703
57,1.9021861924686194,293757,378225,77.66726155066429,84468,22.33273844933571,3.4777312118198607
58,1.935557880055788,293464,378225,77.58979443452971,84761,22.41020556547029,3.4622526869668833
59,1.9689295676429568,293402,378225,77.57340207548417,84823,22.426597924515832,3.4589910755337585
60,2.0023012552301256,293174,378225,77.51312049705862,85051,22.48687950294137,3.447037659757087
61,2.0356729428172944,293245,378225,77.53189239209465,84980,22.468107607905345,3.4507531183807956
62,2.069044630404463,293153,378225,77.50756824641417,85072,22.49243175358583,3.445939909723528
63,2.102416317991632,293166,378225,77.51100535395598,85059,22.488994646044024,3.446619405353931
64,2.1357880055788008,293283,378225,77.54193932183225,84942,22.458060678167758,3.4527442254714984
65,2.1691596931659696,293322,378225,77.55225064445767,84903,22.447749355542335,3.4547895834069466
66,2.2025313807531384,292836,378225,77.42375570097164,85389,22.576244299028357,3.429434704704353
67,2.2359030683403067,292927,378225,77.44781545376429,85298,22.552184546235708,3.4341602382236394
68,2.2692747559274755,292611,378225,77.3642673012096,85614,22.635732698790402,3.4177938187679584
69,2.3026464435146443,292406,378225,77.31006675920418,85819,22.689933240795824,3.4072408207972593
70,2.336018131101813,292156,378225,77.24396853724635,86069,22.75603146275365,3.3944393451765444
71,2.369389818688982,292205,378225,77.25692378875009,86020,22.743076211249917,3.3969425714950012
72,2.4027615062761507,291904,378225,77.17734152951286,86321,22.822658470487145,3.381610500341748
73,2.4361331938633195,292034,378225,77.21171260493092,86191,22.788287395069073,3.388219187618197
74,2.4695048814504883,291787,378225,77.1464075616366,86438,22.853592438363407,3.375679677919434
75,2.502876569037657,291541,378225,77.08136691123009,86684,22.918633088769912,3.363261962992017
76,2.536248256624826,291355,378225,77.03218983409347,86870,22.96781016590654,3.3539196500518016
77,2.5696199442119947,291272,378225,77.01024522440346,86953,22.989754775596534,3.34976366542845
78,2.6029916317991635,291034,378225,76.9473197170996,87191,23.05268028290039,3.3378903785941207
79,2.636363319386332,291023,378225,76.94441139533346,87202,23.055588604666536,3.337343180202289
80,2.6697350069735006,290646,378225,76.84473527662105,87579,23.15526472337894,3.318672284451752
81,2.7031066945606694,290550,378225,76.81935355938924,87675,23.180646440610747,3.3139435414884515
82,2.7364783821478382,290404,378225,76.78075219776588,87821,23.21924780223412,3.3067717288575627
83,2.769850069735007,290200,378225,76.72681604864829,88025,23.273183951351708,3.2967906844646406
84,2.803221757322176,289747,378225,76.60704607046071,88478,23.392953929539296,3.2747914735866543
85,2.8365934449093446,290028,378225,76.68134047194131,88197,23.318659528058696,3.2884111704479744
86,2.8699651324965134,289741,378225,76.60545971313371,88484,23.394540286866285,3.274501604809909
87,2.903336820083682,289553,378225,76.55575385022144,88672,23.44424614977857,3.26543892096716
88,2.936708507670851,289378,378225,76.50948509485094,88847,23.490514905149052,3.25703737886479
89,2.97008019525802,289328,378225,76.49626545045938,88897,23.503734549540617,3.2546430138249884
90,3.0034518828451886,289231,378225,76.47061934033974,88994,23.529380659660255,3.2500056183562935
91,3.036823570432357,289499,378225,76.54147663427854,88726,23.45852336572146,3.2628429096319005
92,3.0701952580195258,289293,378225,76.48701169938529,88932,23.512988300614712,3.2529685602482794
93,3.1035669456066945,289480,378225,76.53645316940974,88745,23.463546830590257,3.261930249591526
94,3.1369386331938633,289485,378225,76.5377751338489,88740,23.4622248661511,3.2621703853955375
95,3.170310320781032,289441,378225,76.52614184678433,88784,23.47385815321568,3.2600581185799244
96,3.203682008368201,288993,378225,76.40769383303589,89232,23.592306166964107,3.2386699838622914
97,3.2370536959553697,288912,378225,76.38627800912155,89313,23.613721990878446,3.2348258372241445
98,3.2704253835425385,288318,378225,76.22922863374976,89907,23.770771366250248,3.206847075311155
99,3.3037970711297073,288131,378225,76.1797871637253,90094,23.820212836274703,3.198115301795902
100,3.337168758716876,287798,378225,76.09174433207747,90427,23.908255667922532,3.182655622767536
101,3.370540446304045,287281,378225,75.95505320906868,90944,24.044946790931323,3.158877990851513
102,3.4039121338912137,286972,378225,75.87335580672881,91253,24.1266441932712,3.1447952396085608
103,3.437283821478382,287097,378225,75.90640491770772,91128,24.093595082292286,3.150480642612589
104,3.470655509065551,286789,378225,75.82497190825566,91436,24.175028091744334,3.1364998468874403
105,3.5040271966527197,286818,378225,75.83263930200278,91407,24.16736069799722,3.137812202566543
106,3.5373988842398885,286791,378225,75.82550069403133,91434,24.17449930596867,3.1365903274493077
