frame_number,time_seconds,foam_area_pixels,total_area_pixels,foam_percentage,beer_area_pixels,beer_percentage,foam_to_beer_ratio
61,2.0356729428172944,28012,378225,7.406173573930862,350213,92.59382642606914,0.07998560875809864
62,2.069044630404463,28122,378225,7.435256791592307,350103,92.56474320840769,0.08032493294830378
63,2.102416317991632,28136,378225,7.438958292021945,350089,92.56104170797805,0.08036813495996732
64,2.1357880055788008,28620,378225,7.566924449732302,349605,92.4330755502677,0.0818638177371605
65,2.1691596931659696,28478,378225,7.529380659660255,349747,92.47061934033974,0.08142457261963648
66,2.2025313807531384,28524,378225,7.5415427325004964,349701,92.45845726749951,0.08156682422984206
67,2.2359030683403067,28824,378225,7.620860598849891,349401,92.37913940115011,0.08249547082006062
68,2.2692747559274755,28494,378225,7.533610945865556,349731,92.46638905413445,0.08147404719627371
69,2.3026464435146443,27956,378225,7.3913675722123084,350269,92.6086324277877,0.07981294376607694
70,2.336018131101813,28268,378225,7.473858153215679,349957,92.52614184678433,0.08077563814982984
71,2.369389818688982,28033,378225,7.411725824575319,350192,92.58827417542467,0.08005037236715859
72,2.4027615062761507,27789,378225,7.347213959944478,350436,92.65278604005552,0.07929835975755915
73,2.4361331938633195,28155,378225,7.44398175689074,350070,92.55601824310926,0.08042677178849944
74,2.4695048814504883,28037,378225,7.4127833961266445,350188,92.58721660387336,0.08006270917335831
75,2.502876569037657,27927,378225,7.383700178465199,350298,92.6162998215348,0.07972354966342943
76,2.536248256624826,28030,378225,7.410932645911824,350195,92.58906735408817,0.08004111994745784
77,2.5696199442119947,27931,378225,7.384757750016524,350294,92.61524224998348,0.07973587900449337
78,2.6029916317991635,27700,378225,7.323682992927489,350525,92.67631700707251,0.07902432066186435
79,2.636363319386332,28135,378225,7.438693899134114,350090,92.56130610086589,0.08036504898740324
80,2.6697350069735006,27290,378225,7.21528190891665,350935,92.78471809108335,0.07776368843233078
81,2.7031066945606694,27545,378225,7.282702095313636,350680,92.71729790468638,0.07854739363522299
82,2.7364783821478382,27855,378225,7.364663890541344,350370,92.63533610945865,0.07950166966349859
83,2.769850069735007,27617,378225,7.301738383237491,350608,92.69826161676251,0.07876888148587596
84,2.803221757322176,26676,378225,7.052944675788221,351549,92.94705532421177,0.07588131384245154
85,2.8365934449093446,27632,378225,7.305704276554962,350593,92.69429572344504,0.07881503623860145
86,2.8699651324965134,26959,378225,7.127767863044484,351266,92.87223213695552,0.07674810542437925
87,2.903336820083682,27008,378225,7.140723114548218,351217,92.85927688545178,0.07689832781442811
88,2.936708507670851,27328,378225,7.2253288386542405,350897,92.77467116134575,0.07788040365121389
89,2.97008019525802,27000,378225,7.138607971445568,351225,92.86139202855443,0.07687379884689302
90,3.0034518828451886,27315,378225,7.221891731112433,350910,92.77810826888756,0.07784047191587587
91,3.036823570432357,28182,378225,7.451120364862184,350043,92.54887963513781,0.08051010875806687
92,3.0701952580195258,27316,378225,7.222156124000264,350909,92.77784387599974,0.07784354348278329
93,3.1035669456066945,27265,378225,7.208672086720867,350960,92.79132791327913,0.07768691588785047
94,3.1369386331938633,27957,378225,7.391631965100139,350268,92.60836803489985,0.0798160265853575
95,3.170310320781032,27089,378225,7.1621389384625544,351136,92.83786106153744,0.07714674655973754
96,3.203682008368201,27131,378225,7.173243439751471,351094,92.82675656024853,0.0772756014058913
97,3.2370536959553697,27090,378225,7.1624033313503865,351135,92.83759666864961,0.07714981417403563
98,3.2704253835425385,26655,378225,7.047392425143764,351570,92.95260757485624,0.07581704923628296
99,3.3037970711297073,25702,378225,6.795426003040518,352523,93.20457399695948,0.07290871801272542
100,3.337168758716876,25847,378225,6.83376297177606,352378,93.16623702822395,0.073350209150401
101,3.370540446304045,24545,378225,6.489523431819684,353680,93.51047656818031,0.06939889165347206
102,3.4039121338912137,24985,378225,6.605856302465464,353240,93.39414369753453,0.07073094779753142
103,3.437283821478382,25171,378225,6.655033379602089,353054,93.34496662039791,0.07129504268468846
104,3.470655509065551,24741,378225,6.5413444378346215,353484,93.45865556216538,0.06999185253080761
105,3.5040271966527197,24569,378225,6.4958688611276365,353656,93.50413113887235,0.06947146379532654
106,3.5373988842398885,25141,378225,6.647101592967148,353084,93.35289840703285,0.07120401944013323
107,3.5707705718270573,24931,378225,6.5915790865225725,353294,93.40842091347743,0.070567289566197
108,3.604142259414226,24952,378225,6.5971313371670295,353273,93.40286866283297,0.07063092848873251
109,3.637513947001395,25098,378225,6.635732698790403,353127,93.36426730120961,0.07107357976025623
110,3.6708856345885637,25089,378225,6.633353162799921,353136,93.36664683720008,0.07104628245208645
111,3.7042573221757324,25079,378225,6.630709233921607,353146,93.3692907660784,0.07101595374151201
112,3.7376290097629012,24751,378225,6.543988366712935,353474,93.45601163328706,0.07002212326790655
113,3.77100069735007,24374,378225,6.4443122480005295,353851,93.55568775199947,0.06888210009297699
114,3.804372384937239,24446,378225,6.463348535924383,353779,93.53665146407562,0.06909963564824367
115,3.837744072524407,24427,378225,6.458325071055588,353798,93.5416749289444,0.06904222183279725
116,3.871115760111576,24401,378225,6.451450855971974,353824,93.54854914402803,0.06896366555123451
117,3.904487447698745,24774,378225,6.550069403133056,353451,93.44993059686695,0.07009175246356637
118,3.9378591352859136,24865,378225,6.574129155925705,353360,93.4258708440743,0.07036733076748924
119,3.9712308228730824,24117,378225,6.37636327582788,354108,93.62363672417212,0.06810634043851028
120,4.004602510460251,24248,378225,6.410998744133783,353977,93.58900125586622,0.06850162581184653
121,4.0379741980474195,24343,378225,6.436116068477758,353882,93.56388393152224,0.06878846621190114
122,4.071345885634589,24216,378225,6.40253817172318,354009,93.59746182827682,0.06840504054981653
123,4.104717573221757,23484,378225,6.209002577830656,354741,93.79099742216934,0.06620041100408466
124,4.138089260808926,24147,378225,6.384295062462819,354078,93.61570493753717,0.0681968379848508
125,4.171460948396095,23370,378225,6.178861788617886,354855,93.82113821138212,0.0658578856152513
126,4.204832635983264,23904,378225,6.32004759071981,354321,93.67995240928019,0.06746424852040946
127,4.238204323570432,24195,378225,6.3969859210787225,354030,93.60301407892128,0.06834166596051182
128,4.2715760111576015,24090,378225,6.369224667856435,354135,93.63077533214357,0.06802490575627938
129,4.30494769874477,23907,378225,6.320840769383304,354318,93.67915923061669,0.06747328670854995
130,4.338319386331939,24299,378225,6.42448278141318,353926,93.57551721858682,0.06865559467233263
131,4.3716910739191075,24011,378225,6.348337629717761,354214,93.65166237028224,0.06778670521210342
132,4.405062761506277,24152,378225,6.3856170269019765,354073,93.61438297309802,0.06821192240018302
133,4.438434449093445,24297,378225,6.423953995637517,353928,93.57604600436248,0.06864955584186615
134,4.471806136680613,24528,378225,6.485028752726551,353697,93.51497124727345,0.06934749234514288
135,4.505177824267783,24339,378225,6.435058496926432,353886,93.56494150307356,0.06877638561570676
136,4.538549511854951,24426,378225,6.458060678167757,353799,93.54193932183225,0.06903920022385591
137,4.57192119944212,25078,378225,6.630444841033777,353147,93.36955515896622,0.07101292096492395
138,4.605292887029289,25202,378225,6.66322955912486,353023,93.33677044087514,0.07138911628987346
139,4.638664574616458,25691,378225,6.792517681274374,352534,93.20748231872564,0.07287524040234417
140,4.672036262203626,24994,378225,6.608235838455946,353231,93.39176416154406,0.07075822903425803
