frame_number,time_seconds,foam_area_pixels,total_area_pixels,foam_percentage,beer_area_pixels,beer_percentage,foam_to_beer_ratio
0,0.0,398116,402613,98.88304649874694,4497,1.1169535012530643,88.52924171670003
1,0.033372056611845446,398163,402613,98.89472024003199,4450,1.105279759968009,89.47483146067415
2,0.06674411322369089,398112,402613,98.88205298885033,4501,1.1179470111496648,88.44967784936681
3,0.10011616983553633,398096,402613,98.87807894926394,4517,1.1219210507360666,88.13283152534868
4,0.13348822644738179,398166,402613,98.89546537245444,4447,1.1045346275455588,89.53586687654598
5,0.1668602830592272,398156,402613,98.89298159771293,4457,1.1070184022870597,89.33273502355844
6,0.20023233967107265,398153,402613,98.8922364652905,4460,1.10776353470951,89.2719730941704
7,0.2336043962829181,398209,402613,98.9061456038429,4404,1.0938543961571037,90.41984559491371
8,0.26697645289476357,398130,402613,98.88652378338504,4483,1.1134762166149628,88.80883337051083
9,0.300348509506609,398168,402613,98.89596212740274,4445,1.1040378725972584,89.57660292463441
10,0.3337205661184544,398211,402613,98.9066423587912,4402,1.0933576412088035,90.46138119036802
11,0.36709262273029986,398229,402613,98.9111131533259,4384,1.0888868466741015,90.83690693430657
12,0.4004646793421453,398245,402613,98.9150871929123,4368,1.0849128070876997,91.17330586080585
13,0.43383673595399075,398325,402613,98.93495739084432,4288,1.0650426091556904,92.89295708955224
14,0.4672087925658362,398307,402613,98.9304865963096,4306,1.0695134036903924,92.50046446818394
15,0.5005808491776816,398343,402613,98.93942818537901,4270,1.0605718146209884,93.2887587822014
16,0.5339529057895271,398246,402613,98.91533557038645,4367,1.0846644296135495,91.19441264025647
17,0.5673249624013725,398219,402613,98.90862937858441,4394,1.0913706214156025,90.6279016841147
18,0.600697019013218,398159,402613,98.89372673013538,4454,1.1062732698646094,89.39357880556803
19,0.6340690756250634,398185,402613,98.9001845444633,4428,1.0998154555367063,89.9243450767841
20,0.6674411322369088,398138,402613,98.88851080317824,4475,1.111489196821762,88.96938547486033
21,0.7008131888487543,398119,402613,98.88379163116939,4494,1.1162083688306141,88.58900756564309
22,0.7341852454605997,398065,402613,98.87037924756528,4548,1.1296207524347202,87.52528583992964
23,0.7675573020724452,398101,402613,98.87932083663469,4512,1.120679163365316,88.23160460992908
24,0.8009293586842906,398082,402613,98.87460166462583,4531,1.1253983353741681,87.85742661664092
25,0.8343014152961361,398061,402613,98.86938573766868,4552,1.1306142623313207,87.4474956063269
26,0.8676734719079815,397992,402613,98.85224769195233,4621,1.1477523080476786,86.1268123782731
27,0.901045528519827,398063,402613,98.86988249261698,4550,1.1301175073830205,87.48637362637362
28,0.9344175851316724,398089,402613,98.87634030694488,4524,1.1236596930551175,87.99491600353669
29,0.9677896417435179,398084,402613,98.87509841957413,4529,1.124901580425868,87.89666593066902
30,1.0011616983553633,398034,402613,98.86267954586663,4579,1.1373204541333737,86.92596636820267
31,1.0345337549672087,398091,402613,98.87683706189318,4522,1.123162938106817,88.0342768686422
32,1.0679058115790543,398012,402613,98.85721524143533,4601,1.1427847585646764,86.50554227341883
33,1.1012778681908997,398113,402613,98.88230136632448,4500,1.1176986336755146,88.46955555555556
