frame_number,time_seconds,foam_area_pixels,total_area_pixels,foam_percentage,beer_area_pixels,beer_percentage,foam_to_beer_ratio
0,0.0,247574,378225,65.45680481195055,130651,34.54319518804944,1.8949261773733075
1,0.03337168758716876,249631,378225,66.00066098221959,128594,33.99933901778042,1.9412336500925393
2,0.06674337517433752,250567,378225,66.2481327252297,127658,33.751867274770305,1.9627990411881746
3,0.10011506276150628,250153,378225,66.13867406966753,128072,33.86132593033248,1.9532216253357486
4,0.13348675034867505,248400,378225,65.67519333729923,129825,34.32480666270077,1.9133448873483536
5,0.1668584379358438,248670,378225,65.74657941701368,129555,34.253420582986315,1.9194164640500173
6,0.20023012552301256,247900,378225,65.54299689338356,130325,34.457003106616426,1.9021676577786304
7,0.23360181311018133,247672,378225,65.48271531495803,130553,34.51728468504197,1.8970992623685399
8,0.2669735006973501,248042,378225,65.58054068345561,130183,34.41945931654439,1.9053332616393845
9,0.30034518828451884,247668,378225,65.48165774340671,130557,34.5183422565933,1.8970105011604126
10,0.3337168758716876,247454,378225,65.4250776654108,130771,34.574922334589196,1.892269692821803
11,0.3670885634588564,247324,378225,65.39070658999273,130901,34.60929341000727,1.8893973308072514
12,0.4004602510460251,245697,378225,64.96053936149117,132528,35.03946063850882,1.8539252082578777
13,0.43383193863319386,244855,378225,64.73792054993721,133370,35.26207945006279,1.8359076254030142
14,0.46720362622036266,243566,378225,64.39711811752264,134659,35.60288188247736,1.808761389881107
15,0.5005753138075314,240898,378225,63.69171789278868,137327,36.30828210721131,1.754192547714579
16,0.5339470013947002,239306,378225,63.270804415361226,138919,36.729195584638774,1.7226297338736962
17,0.5673186889818689,243242,378225,64.31145482186528,134983,35.6885451781347,1.8020195135683752
18,0.6006903765690377,243943,378225,64.49679423623505,134282,35.50320576376495,1.8166470561951713
19,0.6340620641562065,244103,378225,64.53909709828805,134122,35.46090290171195,1.8200071576624268
20,0.6674337517433752,242223,378225,64.04203846916518,136002,35.95796153083482,1.781025279040014
21,0.700805439330544,242141,378225,64.02035825236301,136084,35.97964174763699,1.7793495194144793
22,0.7341771269177128,242349,378225,64.07535197303193,135876,35.92464802696808,1.7836041685065795
23,0.7675488145048814,242813,378225,64.19803027298566,135412,35.801969727014345,1.7931424098307387
24,0.8009205020920502,241613,378225,63.88075880758808,136612,36.11924119241192,1.768607442977191
25,0.834292189679219,241276,378225,63.79165840438892,136949,36.208341595611074,1.7617945366523304
26,0.8676638772663877,241171,378225,63.76389715116664,137054,36.23610284883337,1.759678666802866
27,0.9010355648535565,240737,378225,63.64915063784784,137488,36.35084936215216,1.7509673571511695
28,0.9344072524407253,239568,378225,63.340075351973034,138657,36.65992464802697,1.727774291957853
29,0.967778940027894,239328,378225,63.27662105889351,138897,36.72337894110648,1.7230609732391629
30,1.0011506276150628,239365,378225,63.28640359574328,138860,36.71359640425673,1.7237865476019012
31,1.0345223152022316,239141,378225,63.22717958886906,139084,36.772820411130944,1.719399787178971
32,1.0678940027894004,239071,378225,63.20867208672086,139154,36.79132791327913,1.7180318208603418
33,1.1012656903765692,238491,378225,63.05532421177871,139734,36.944675788221296,1.7067499677959552
34,1.1346373779637378,238911,378225,63.166369224667854,139314,36.833630775332146,1.7149102028511134
35,1.1680090655509066,238769,378225,63.12882543459581,139456,36.87117456540419,1.7121457664066084
36,1.2013807531380754,238212,378225,62.98155859607376,140013,37.01844140392623,1.7013563026290417
