frame_number,time_seconds,foam_area_pixels,total_area_pixels,foam_percentage,beer_area_pixels,beer_percentage,foam_to_beer_ratio
0,0.0,129011,378225,34.109590852006086,249214,65.89040914799392,0.5176715593826992
1,0.03337168758716876,130856,378225,34.59739573005486,247369,65.40260426994514,0.5289911023612498
2,0.06674337517433752,131659,378225,34.80970321898341,246566,65.19029678101658,0.5339706204423967
3,0.10011506276150628,131428,378225,34.74862846189438,246797,65.25137153810563,0.5325348363229699
4,0.13348675034867505,129753,378225,34.30577037477692,248472,65.69422962522307,0.5222037090698348
5,0.1668584379358438,130062,378225,34.3874677771168,248163,65.6125322228832,0.524099080040135
6,0.20023012552301256,129647,378225,34.2777447286668,248578,65.7222552713332,0.5215546025794721
7,0.23360181311018133,129359,378225,34.20159957697138,248866,65.79840042302862,0.5197937846069772
8,0.2669735006973501,129827,378225,34.32533544847644,248398,65.67466455152356,0.522657187255936
9,0.30034518828451884,129543,378225,34.25024786833234,248682,65.74975213166766,0.5209182811783724
10,0.3337168758716876,129827,378225,34.32533544847644,248398,65.67466455152356,0.522657187255936
11,0.3670885634588564,129806,378225,34.319783197831974,248419,65.68021680216802,0.5225284700445618
12,0.4004602510460251,128823,378225,34.05988498909379,249402,65.94011501090621,0.5165275338609955
13,0.43383193863319386,127955,378225,33.830391962456204,250270,66.1696080375438,0.5112678307427978
14,0.46720362622036266,127497,378225,33.70930001982947,250728,66.29069998017053,0.5085072269551068
15,0.5005753138075314,125360,378225,33.144292418533944,252865,66.85570758146606,0.49575860637098845
16,0.5339470013947002,124727,378225,32.97693172053672,253498,67.02306827946329,0.4920236057089208
17,0.5673186889818689,127561,378225,33.726221164650674,250664,66.27377883534933,0.5088923818338493
18,0.6006903765690377,127422,378225,33.68947055324212,250803,66.31052944675788,0.5080561237305774
19,0.6340620641562065,127616,378225,33.74076277348139,250609,66.25923722651861,0.5092235314773212
20,0.6674337517433752,126668,378225,33.490118315817305,251557,66.50988168418269,0.5035359779294554
21,0.700805439330544,126722,378225,33.504395531760196,251503,66.4956044682398,0.503858800889055
22,0.7341771269177128,127216,378225,33.63500561834887,251009,66.36499438165113,0.506818480612249
23,0.7675488145048814,127573,378225,33.729393879304645,250652,66.27060612069535,0.508964620270335
24,0.8009205020920502,126508,378225,33.44781545376429,251717,66.55218454623571,0.5025802786462575
25,0.834292189679219,126379,378225,33.41370877123405,251846,66.58629122876594,0.5018106303058218
26,0.8676638772663877,126678,378225,33.49276224469562,251547,66.50723775530439,0.5035957495020811
27,0.9010355648535565,126506,378225,33.44728666798863,251719,66.55271333201136,0.502568340093517
28,0.9344072524407253,125851,378225,33.27410932645912,252374,66.72589067354087,0.4986686425701538
